"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Mikolas, Miles",571945,"STL","SI","Sinker",1.4,9,"623",23,"202","0.23","0.374","0.293",10.5,15.8,15.6,"0.254","0.412","0.318",41.7
"Beeks, Jalen",656222,"PIT","FF","4-Seam Fastball",0.5,3,"658",55.5,"202","0.282","0.379","0.342",16.2,15.3,18.3,"0.239","0.382","0.313",40.3
"Clase, Emmanuel",661403,"CLE","FC","Cutter",3.1,24,"765",77.8,"201","0.15","0.209","0.194",24.5,20.9,21,"0.224","0.302","0.257",30.4
"Gray, Jon",592351,"TEX","FF","4-Seam Fastball",-0.5,-3,"720",44.4,"201","0.311","0.443","0.36",15,15.9,14.4,"0.306","0.492","0.373",51
"Nola, Aaron",605400,"PHI","FF","4-Seam Fastball",1,9,"883",27.7,"201","0.167","0.316","0.269",23,24.9,18.4,"0.188","0.317","0.28",39.2
"Wheeler, Zack",554430,"PHI","SI","Sinker",2.8,17,"597",19,"200","0.188","0.258","0.225",14.4,22,27.5,"0.213","0.298","0.253",31.3
"Morton, Charlie",450203,"ATL","FF","4-Seam Fastball",-1.1,-9,"798",28.6,"199","0.277","0.509","0.377",19.5,24.6,18.9,"0.268","0.484","0.366",48
"Gibson, Kyle",502043,"STL","SI","Sinker",-0.4,-3,"730",26.4,"199","0.267","0.422","0.342",9.2,16.1,19.4,"0.288","0.435","0.349",47.7
"Eovaldi, Nathan",543135,"TEX","FS","Split-Finger",1.6,13,"808",30.8,"198","0.2","0.286","0.237",36.8,27.8,23.3,"0.232","0.327","0.272",43.9
"Woods Richardson, Simeon",680573,"MIN","SL","Slider",1.1,8,"716",31.2,"198","0.214","0.313","0.257",23.9,20.7,14.3,"0.234","0.369","0.292",27.1
"McKenzie, Triston",663474,"CLE","FF","4-Seam Fastball",-2.3,-16,"683",52.4,"198","0.303","0.652","0.471",10.3,11.1,16.2,"0.307","0.658","0.467",48.5
"Ragans, Cole",666142,"KC","CH","Changeup",1.1,8,"740",23.7,"197","0.183","0.28","0.26",47.8,31,25.2,"0.183","0.271","0.253",21.9
"Ashcraft, Graham",668933,"CIN","FC","Cutter",-1.5,-10,"649",48.4,"197","0.329","0.52","0.436",16.2,11.2,14.9,"0.316","0.492","0.391",44.4
