antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'quality_archetype_League-Average Pitch Quality', 'Swinging Tendencies_Aggressive'})",frozenset({'events_home_run'}),0.14142671854734112,0.1035538261997406,0.01634241245136187,0.11555392516507704,1.1158827192168637,1.0,0.0016971346189108751,1.0135679260802601,0.12095470210159913,0.07147719537100068,0.013386301727927532,0.13668477821380104
frozenset({'quality_archetype_Weak Fastball Group (Bad FF)'}),frozenset({'events_home_run'}),0.15003891050583656,0.1035538261997406,0.01727626459143969,0.11514522821576764,1.1119360089473553,1.0,0.001739161329719855,1.0130997790661782,0.11843797652257647,0.07310647639956093,0.012930393764623025,0.1409894477752185
"frozenset({'quality_archetype_Four-Seam Aces (Elite FF Quality)', 'Swinging Tendencies_Aggressive'})",frozenset({'events_single'}),0.03138780804150454,0.4316472114137484,0.014941634241245135,0.47603305785123967,1.1028289891926255,1.0,0.001393174427739674,1.0847111580273887,0.09626257215973334,0.03334491142757902,0.07809559014903189,0.25532422123331217
frozenset({'quality_archetype_Fastball Generalists (Good FF + Good SI)'}),frozenset({'events_single'}),0.07792477302204928,0.4316472114137484,0.037094682230869,0.4760319573901465,1.102826439747004,1.0,0.0034586712558521346,1.0847088798685514,0.10111865291069695,0.07851103546722302,0.07809365392013445,0.28098472869507324
frozenset({'quality_archetype_Weak Breaking Ball Group (Bad SL)'}),frozenset({'events_single'}),0.05457846952010376,0.4316472114137484,0.025525291828793775,0.467680608365019,1.0834788132494881,1.0,0.001966647657210722,1.0676913099870298,0.0814948856287662,0.0554054054054054,0.06339970116255053,0.2634076118748172
"frozenset({'quality_archetype_Sinkers Get Hit (Bad SI)', 'Swinging Tendencies_Aggressive'})",frozenset({'events_single'}),0.02204928664072633,0.4316472114137484,0.010272373540856031,0.46588235294117647,1.0793127828054299,1.0,0.0007548604487240939,1.064096630613026,0.07514133376202327,0.02316602316602317,0.06023572368244419,0.2448402149321267
frozenset({'Swinging Tendencies_Aggressive'}),frozenset({'events_single'}),0.3388326848249027,0.4316472114137484,0.1577172503242542,0.4654723625784719,1.0783629553726017,1.0,0.011461066783751445,1.0632804532388453,0.10990930716622052,0.25738718144102957,0.059514357708812936,0.4154284889815436
frozenset({'quality_archetype_Four-Seam Aces (Elite FF Quality)'}),frozenset({'events_walk'}),0.09841763942931259,0.23813229571984434,0.025058365758754864,0.25461254612546125,1.069206280298097,1.0,0.0016219473421247854,1.0221096428709018,0.07179242120221967,0.08044636908727515,0.021631380767331686,0.17992065214769795
frozenset({'Swinging Tendencies_Aggressive'}),frozenset({'events_hit_by_pitch'}),0.3388326848249027,0.02993514915693904,0.010843060959792478,0.03200122492726995,1.0690183890348843,1.0,0.000700054000312901,1.0021343784966832,0.09764910478559034,0.030294245542832297,0.002129832627721056,0.1971097979055761
frozenset({'Swinging Tendencies_Aggressive'}),frozenset({'events_home_run'}),0.3388326848249027,0.1035538261997406,0.037457846952010376,0.11054968611238708,1.067557715338808,1.0,0.0023704259968609157,1.0078653746065578,0.09571328335706941,0.09250480461242792,0.007803993276014868,0.23613656650308731
frozenset({'quality_archetype_Weak Fastball Group (Bad FF)'}),frozenset({'events_walk'}),0.15003891050583656,0.23813229571984434,0.03808041504539559,0.2538035961272476,1.0658092190310888,1.0,0.002351304839336453,1.0210015758935171,0.0726454168198876,0.10877296976882041,0.020569582250779584,0.20685822507887436
"frozenset({'quality_archetype_League-Average Pitch Quality', 'Swinging Tendencies_Selective'})",frozenset({'events_single'}),0.12357976653696498,0.4316472114137484,0.056653696498054476,0.4584382871536524,1.062067065491184,1.0,0.003310834885211486,1.0494700328778692,0.06668019720763464,0.11363163371488032,0.04713810907226382,0.2948441435768262
