antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_double'}),0.11216601815823606,0.13328145265888455,0.014059662775616082,0.1253469010175763,0.9404676983704879,1.0,-0.0008899870634764412,0.990928344448171,-0.06655286461541177,0.060762331838565026,-0.009154703872034977,0.11541770897511747
"frozenset({'Ball Preference_Aggressive Fastball', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_double'}),0.08632944228274968,0.13328145265888455,0.010635538261997406,0.12319711538461539,0.9243380299877236,1.0,-0.0008705752126788018,0.9884987407646444,-0.08222318145581149,0.050893743793445884,-0.011635077275322524,0.10149735099709556
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_double'}),0.18428015564202335,0.13328145265888455,0.022412451361867706,0.12162162162162163,0.9125172272311238,1.0,-0.002148675478306508,0.986725730819116,-0.10516763839178432,0.07593601687467043,-0.013452845878321733,0.14489021914090036
"frozenset({'Ball Preference_Selective / Moderate', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_home_run'}),0.1493644617380026,0.1035538261997406,0.01795071335927367,0.1201806182702327,1.1605618322438553,1.0,0.0024834518480387428,1.0188979606675668,0.16264117710931875,0.0763965555310223,0.01854745165569392,0.14676365582850312
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_double'}),0.09727626459143969,0.13328145265888455,0.011673151750972763,0.12,0.9003503308680421,1.0,-0.0012919701030043342,0.9849074401603585,-0.10921501706484633,0.053330173026783605,-0.01532383574763557,0.10379135850525496
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Hitters With Good Contact'})",frozenset({'events_double'}),0.16119325551232166,0.13328145265888455,0.018936446173800258,0.11747666559382039,0.881417956138921,1.0,-0.0025476250796967227,0.9820913663708408,-0.13822017725912505,0.06872528713989831,-0.018235201165994957,0.12977764770543493
frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)'}),frozenset({'events_double'}),0.09219195849546044,0.13328145265888455,0.01079118028534371,0.11705120990433315,0.8782257963822584,1.0,-0.0014962978663988508,0.9816181380657503,-0.13250229948919032,0.05026582890285162,-0.01872608219166636,0.0990082830370245
frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'}),frozenset({'events_home_run'}),0.1762905317769131,0.1035538261997406,0.020492866407263294,0.11624484991171279,1.1225548507255831,1.0,0.002237307318976988,1.0143603391852418,0.13254058294659177,0.07901580316063213,0.01415703929904878,0.15707032074743957
"frozenset({'Ball Preference_Selective / Moderate', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_home_run'}),0.5062516212710765,0.1035538261997406,0.05411154345006485,0.10688665710186515,1.0321845268729712,1.0,0.0016872510476228994,1.0037316998213346,0.06315156276334918,0.097376528802166,0.003717826010674849,0.3147158736411129
frozenset({'Ball Preference_Selective / Moderate'}),frozenset({'events_home_run'}),0.8414007782101167,0.1035538261997406,0.08907911802853437,0.10587002096436059,1.0223670611663578,1.0,0.0019488480774374484,1.0025904452584378,0.13794343124204403,0.10407952961144451,0.0025837521898287074,0.483045230923062
frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'}),frozenset({'events_home_run'}),0.6015045395590143,0.1035538261997406,0.06293125810635539,0.10462308090391582,1.0103255933982853,1.0,0.0006431615585062236,1.0011941950717858,0.025646628821366455,0.09800436293124343,0.001192770670928725,0.3561692558828196
"frozenset({'Ball Preference_Selective / Moderate', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_home_run'}),0.23102464332036315,0.1035538261997406,0.024072632944228275,0.10419941612396139,1.0062343415778334,1.0,0.00014914718197432675,1.0007206848665218,0.008057105234995579,0.07752715121136175,0.0007201658538894401,0.1683321729918404
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_home_run'}),0.2823865110246433,0.1035538261997406,0.029053177691309988,0.10288443872864231,0.9935358499471846,1.0,-0.00018902599248705673,0.9992538447664984,-0.008984988513523423,0.08140718127634831,-0.0007467123968643783,0.19172278048656566
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_home_run'}),0.3866147859922179,0.1035538261997406,0.03792477302204929,0.09809447128287709,0.9472800270428136,1.0,-0.0021106673328387462,0.9939468661150919,-0.08318503242888857,0.08385912584604795,-0.00608999745486106,0.2321634681063684
frozenset({'Hitter_Types_Balanced Hitters'}),frozenset({'events_home_run'}),0.47294422827496757,0.1035538261997406,0.04565499351491569,0.09653356735410268,0.9322066687125897,1.0,-0.0033201909020407483,0.9922296406463289,-0.12125043839576272,0.08600469116497263,-0.007831210674788527,0.26870766544057834
frozenset({'Ball Preference_Aggressive Fastball'}),frozenset({'events_home_run'}),0.15859922178988328,0.1035538261997406,0.014474708171206226,0.09126594700686948,0.881338240760225,1.0,-0.0019488480774374588,0.9864780249486655,-0.13794343124204472,0.058441558441558426,-0.01370732516017078,0.11552275306255297
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Hitters With Good Contact'})",frozenset({'events_home_run'}),0.16119325551232166,0.1035538261997406,0.01125810635538262,0.06984229159961378,0.6744539932778334,1.0,-0.005434072010510715,0.9637571840821473,-0.36525566577709073,0.04441260744985672,-0.03760575435021961,0.08927986323467663
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_home_run'}),0.18428015564202335,0.1035538261997406,0.012399481193255513,0.06728603603603604,0.6497687097167308,1.0,-0.006683434016159721,0.9611158494834051,-0.3978723138334693,0.04501789414202298,-0.040457298188865405,0.09351275749697593
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_hit_by_pitch'}),0.3866147859922179,0.02993514915693904,0.012814526588845654,0.033145464304884596,1.1072423301155123,1.0,0.0012411553038905454,1.00332037036537,0.15790295522930836,0.03173991261886404,0.0033093819914777308,0.230610860402009
