antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,ante_len,cons_len
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'outcome_single'}),0.3814735677063318,0.14526616758642952,0.0569689330238421,0.1493391360412637,1.028037970041516,1.0,0.001553729807620939,1.0047880049822437,0.044093964523018205,0.1212696335078534,0.0047651892324573845,0.27075422410528793,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'outcome_single'}),0.1530444406868246,0.14526616758642952,0.022673819808463867,0.1481518682201687,1.0198649188705435,1.0,0.00044164043948023354,1.003387576407205,0.022997653137471263,0.08225977357648764,0.0033761394767662825,0.1521182621524124,2,1
"frozenset({'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_single'}),0.11230842543772002,0.14526616758642952,0.01657110356171122,0.14754995893785927,1.0157214263264085,1.0,0.0002564890107073607,1.0026790911389765,0.017436336154191687,0.06875877025130755,0.0026719327875215325,0.1308120165059667,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'outcome_double'}),0.3814735677063318,0.04856040459317787,0.018753939095814184,0.04916183107672469,1.0123851209351604,1.0,0.00022942830639167966,1.0006325224451473,0.01977863128178652,0.04559895346664175,0.0006321226134063312,0.21767999752633324,2,1
"frozenset({'pitcher_arch_FF Liability Pitchers (Bad Fastball Impact)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_single'}),0.048037753831491246,0.14526616758642952,0.006963552795412971,0.14496,0.9978923682539683,1.0,-1.4707603148082782e-05,0.9996419260076376,-0.002213751250416709,0.03737007094538855,-0.000358202255273979,0.09644825396825397,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Sinker Liability Pitchers (Sinker Gets Crushed)'})",frozenset({'outcome_double'}),0.04550136042918851,0.04856040459317787,0.0021982076153290392,0.0483108108108108,0.9948601379156933,1.0,-1.1356856652368092e-05,0.9997377360327275,-0.0053835624417521355,0.02392904953145917,-0.00026233276770486257,0.04678915026137248,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Slider Aces (Elite Slider Impact)'})",frozenset({'outcome_double'}),0.033126835042196365,0.04856040459317787,0.0015679522850598742,0.04733178654292343,0.9746991801129464,1.0,-4.0700227480643765e-05,0.9987103400397963,-0.02614500818554207,0.019570222563315424,-0.0012913253307784615,0.03981024274914453,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Four-Seam Aces (Elite FF Impact)'})",frozenset({'outcome_single'}),0.12663520514042395,0.14526616758642952,0.017862358384701706,0.1410536537994659,0.9710014117054663,1.0,-0.0005334525475690008,0.9950957195340578,-0.03306426874799031,0.07031344547984994,-0.004928450971770291,0.13200830838121444,2,1
"frozenset({'pitcher_arch_Balanced Positive Arsenal (Mild Impact Gains)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_double'}),0.11230842543772002,0.04856040459317787,0.005257251779318402,0.04681084040514645,0.9639713836264616,1.0,-0.0001964907991600321,0.9981645152272032,-0.04040269759460706,0.03378445124962955,-0.0018388599722753078,0.07753647433362736,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Sinker Liability Pitchers (Sinker Gets Crushed)'})",frozenset({'outcome_single'}),0.015049267520329578,0.14526616758642952,0.0020598588842943447,0.13687436159346272,0.9422315179618551,1.0,-0.00012629053336686222,0.9902774224057816,-0.05859941554964241,0.013016027197668773,-0.009818034193487202,0.07552712788667845,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Sinker Aces (Elite Sinker Impact)'})",frozenset({'outcome_double'}),0.02957588427897253,0.04856040459317787,0.0012758827417644074,0.043139293139293135,0.8883635443464503,1.0,-0.00016033416502350727,0.9943344821090307,-0.11464875273392824,0.016599999999999997,-0.005697798872420003,0.034706715262270815,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Sinker Aces (Elite Sinker Impact)'})",frozenset({'outcome_single'}),0.02957588427897253,0.14526616758642952,0.0038122761440671452,0.1288981288981289,0.8873238073238074,1.0,-0.00048409921811892395,0.9812099603602086,-0.11571289076179302,0.022290131224159626,-0.019149866388324725,0.07757075757075757,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Four-Seam Aces (Elite FF Impact)'})",frozenset({'outcome_single'}),0.036631669561741964,0.14526616758642952,0.004703856855179623,0.12840956777171633,0.8839605938892553,1.0,-0.000617485394347095,0.9806599531254397,-0.11992261458295476,0.02654636939359764,-0.019721460851870168,0.08039526007633435,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Four-Seam Aces (Elite FF Impact)'})",frozenset({'outcome_double'}),0.12663520514042395,0.04856040459317787,0.005426344672805251,0.04285020636076718,0.882410406580243,1.0,-0.000723112124553814,0.9940341644846418,-0.13238258218567805,0.031963056863455276,-0.006001640314295609,0.07729721460805059,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Slider Aces (Elite Slider Impact)'})",frozenset({'outcome_single'}),0.033126835042196365,0.14526616758642952,0.004104345687362612,0.12389791183294663,0.8529027363458918,1.0,-0.0007078626834850915,0.9756098563830744,-0.15137418507364953,0.02354912683012877,-0.024999894637543343,0.07607594004345744,2,1
"frozenset({'pitcher_arch_Slider Aces (Elite Slider Impact)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_single'}),0.00982275990346333,0.14526616758642952,0.001168278173181867,0.1189358372456964,0.8187442349570675,1.0,-0.00025863651311589723,0.9701153089027913,-0.18272530186214123,0.00759013282732448,-0.030805297909388192,0.06348908264401222,2,1
